Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cote d'Ivoire,CIV,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.003123898,0.076678309,0.0031676,0.010113976,0.012060123,1.145254661,0.904788128,0.891384166,0.619480222,0.540951019,2.070539792,2.278385213,3.730897501,5.659483139,3.862917692,3.802446535,3.700540951,4.484393985,,7.542631619,13.02588235,11.45127888,,9.70766235,,,,,,,,,,9.52233323,16.22011724,13.1133032,9.812373275,12.61474582,20.32844935,14.83933424,11.35993006,9.299659341,18.51975512,27.72879079,36.87335151,32.5902774,37.15313924,29.42929414,23.6570135,24.32890505,29.09406352,21.06456048,20.83818946,12.9487991,12.26060267,12.62263477,15.92611161,16.79462283,
Cameroon,CMR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.034514558,0.007530421,0.015211717,0.055865216,0.020136667,0.022201972,0.013153464,0.032958272,0.040597289,0.047479996,0.184740542,0.168892498,0.215723273,0.318887734,0.388122286,0.069755585,3.263936026,23.59723007,30.67319511,,46.96377112,,,,9.904664334,17.50682355,,,49.86370318,,,,,29.16415583,36.15146828,33.14586062,,,54.15073116,51.90254877,49.18688714,48.8033998,46.6846802,56.86477799,61.61061116,58.67944366,1.245183861,0.945267159,49.5472815,0.551609715,55.53963042,55.93265469,56.32322143,45.38499592,7.69262552,43.44941083,,,
"Congo, Dem. Rep.",COD,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.000556243,,,0.33018528,,,,,0.174625161,,2.988809992,0.175209862,0.156403302,0.669680436,8.861878711,3.530354758,1.316173241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,7.562594823,3.490413917,3.179488754,2.669328855,2.862257381,1.495412524,1.969123026,,1.05072006,1.209442152,4.968172516,32.99529011,69.2636268,73.39043446,75.28312916,54.51643338,62.9070665,85.16284607,89.58051055,,,87.63897471,91.75334533,93.25504111,89.09531826,,,,,,,94.38948159,83.37777565,87.64076953,,,,,,,,,,,,87.02461809,84.09612384,70.65930867,67.72045179,77.66613638,78.8976766,75.70957814,46.17258716,31.25844722,19.49061302,44.55651574,82.21741159,83.93941399,
Colombia,COL,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,14.656862,18.31541185,15.12297546,17.82110473,16.03239653,14.64726342,9.092789229,12.77359243,10.05841731,10.18191632,7.564536804,5.267246567,8.275583804,7.209939855,4.070760543,3.923199246,4.309938456,3.992778098,2.848112714,1.547240619,7.447965478,14.6539503,14.86717284,16.28121507,13.01940283,32.52492454,,,,28.76547418,28.50970832,26.49907827,21.84582974,27.23175437,35.94906156,31.36686395,30.25411636,40.47907685,43.07950461,36.29871584,35.91875625,37.19035402,36.90769553,39.24562367,38.43170558,36.25080751,45.96572545,48.30044508,57.15978392,64.82903056,65.71963644,66.77140134,65.57305533,52.78635478,47.49728535,54.13706254,57.8787929,54.69488463,
Comoros,COM,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.312336955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097720275,,,,0.004698443,,,,,,,,0.02366981,0.05457751,0.070059892,0.017388495,3.01E-05,1.609032886,5.82E-05,,0.008653582,4.11E-05,0.025050883,
Cabo Verde,CPV,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,0,1.318838992,,,,,2.766789191,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,,0,0,0.000587909,0,,,,,,,,
Costa Rica,CRI,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,0.00098369,0.000433181,0.01701008,0.16630685,0.084011618,0.416617552,0.817667977,0.230851086,0.114732592,0.134296129,0.066086621,0.125785501,0.093575946,0.102597193,0.087613011,0.600008675,1.240525465,0.913849689,1.74299901,1.906839286,1.808798182,1.35372564,1.059510038,,,,,,,0.578190175,0.774151132,0.863741704,0.453160488,0.387011218,0.365682344,0.616778936,0.845937655,1.01663699,0.486551525,0.074454462,0.487124253,0.609434004,0.57598411,0.84342571,0.56426614,0.563620729,0.325379366,0.042160747,0.036238537,0.029790056,0.038275357,0.033769384,0.038889863,0.03267136,0.018787559,
Caribbean small states,CSS,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,69.05954365,69.17087298,63.00067007,57.24630692,72.86678817,68.38703362,70.56687636,70.08571784,68.5447765,69.92948405,76.69711879,72.00082737,72.39336775,71.78238739,70.72278038,67.40022058,59.34786511,59.54640269,,,,58.05643897,53.53544288,45.79006555,34.90059099,34.04883659,37.56747215,32.78218757,29.21748131,40.71202129,41.92900002,34.45727297,40.11140637,44.19394954,39.15529972,47.83148559,51.20440119,45.18844365,48.78473747,53.21994097,46.51516336,42.22991761,38.77825282,43.41037793,41.80404506,32.84822377,,,,,
Cuba,CUB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265796866,3.125650657,1.485994192,0.401734777,1.498556672,0.500193591,0.847512025,0.000278319,,,,,,,,,,,,,,
Curacao,CUW,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,0.007595162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
