"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Colombia","COL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7437321544523","13.4769212818618","11.219754185325","","","11.2588268638482","","","","","13.0315110144915","12.6752273841946","12.1421652023674","14.5758811869672","13.2269907142761","14.0221143464507","15.6997483720014","15.797262655066","14.3852129298513","14.8508184081791","14.8189548950102","15.0627035789557","",
"Comoros","COM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0769713606117","22.7444438575378","20.9067631506814","21.2837976760053","18.4206417086846","18.4461405571435","19.7309446019578","17.8819849854701","17.8393062484842","17.0527583740425","18.7780857967901","18.6038176552633","20.08675268685","","","",
"Costa Rica","CRI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","11.4413690693542","12.4970478184578","13.6201639990327","12.4370708760522","12.1882799048153","12.3050282048147","12.6515622799897","11.883970601474","11.6168139669017","12.381200780513","12.6557483542812","15.2187698161065","14.7168072809855","13.2730530245079","13.2573983298679","14.4341578176762","14.7022326120795","13.7047507846128","13.0573346474185","10.6266301805556","12.0263308805085","12.0927729869643","11.6409136208436","12.3142972467788","12.7082561935576","12.6760001599543","12.8868199287927","13.1885695945568","12.8947795254088","13.4137705185389","13.4280657497873","13.6447951170138","13.4177874708154","13.6985431891334","13.9107526109147","14.9346454560169","15.3264626782516","13.2621603769636","13.0880851054004","13.3652340296961","13.3191976561239","13.7417149909108","13.4166589919403","13.6570929886303","13.910101247384","13.704774682847","13.5884208613983","13.9403881126223","",
"Caribbean small states","CSS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.433817936711","18.7449667599279","20.2658804380484","20.6973202440551","22.538361937739","24.4822453312017","22.9990587666825","24.524793014097","23.2731600103712","22.7349629337025","22.7092018370183","22.9321318310505","22.3130179049983","22.9451513203775","23.4539915216144","21.4410687412101","20.7527356039889","20.8845045116201","","",
"Cuba","CUB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","13.3891041568466","12.1203957799436","13.2309141254979","13.5794674015489","14.1997457898254","14.7875835738943","13.7933786511882","14.2413895442656","15.4059994941628","16.1320463218441","16.5564691732432","16.701230847832","16.3313115500614","17.3866421933943","18.3570374303086","30.8059028384927","29.0124317653202","30.8681490945637","33.2443430599618","35.5447320498536","31.4981383964077","30.4848195618204","29.2465142560274","31.2949526116382","32.2018831678499","35.5331681664013","36.3857611009678","36.6175007190676","37.614991707992","37.29678065791","39.5856637275598","41.5392579358922","48.5634216889387","46.0460832170594","23.2491854431902","23.1149201951533","23.2141207864472","23.4002992781616","23.5804822537324","24.7903619478902","24.1283263957382","23.6210031622867","24.0607868617865","24.3186026136","24.2066140784867","",
"Czech Republic","CZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7482112517764","16.6521205916282","16.2381773920539","15.2960631513922","15.0846463564117","14.3672703262136","14.8700633781968","14.4749860557544","14.7414666828996","14.5648317231405","14.9858046108097","15.4064666649563","14.4846863633168","14.2222295228868","14.6116900671662","13.6730928105351","13.5702219344919","13.6507574751995","14.5202634059379","14.9287634461197","15.0811610763803","14.4296540586861","14.7695604553833","14.9127775532102","15.0055285503497","14.8388745233201","14.7981932510279","",
"Germany","DEU","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","10.7841034508719","10.9193948100922","10.4752255739926","10.0448778040634","10.1703342967468","10.4908657941436","10.493259791897","10.3798790027283","10.2825668963097","10.0567369611207","9.7944266111617","9.75040311009836","10.1908582564913","10.196980845149","9.93788342229686","10.0846343911649","9.8164739733434","10.2507219376736","9.83228368183835","11.6297137091689","11.75387471652","11.4604572531684","11.6778442786478","11.4761349301439","10.901851794023","10.7293679728731","10.8349797956732","11.5085361353351","11.7050007349141","10.961685400499","10.8353047149382","10.9985214123903","10.4262945741916","10.6568166026456","10.8516276183608","11.3340401272229","11.4723010889499","11.6149370535587","11.1902979254406","11.4813852299559","11.6229861108582","11.611503370267","11.4825632039024","11.4787289586211","11.2961202523973","11.4429760787273","11.4876311296892","11.4853365419463","",
"Djibouti","DJI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
