Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Egypt, Arab Rep.",EGY,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.044755044,0.837069314,0.95301989,0.991983719,0.616318566,0.53483765,1.252666005,0.794362785,0.504375413,0.56523257,0.865008479,2.340478517,
Euro area,EMU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.78608738,15.50476592,17.06568209,17.05221478,16.3195885,17.01148216,17.00247395,17.0627552,17.78821798,18.09725312,16.42518234,15.92263179,16.57870256,
Eritrea,ERI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.600850944,5.586221639,6.71908446,6.803657766,6.852518667,7.391885165,8.110711764,6.914876033,6.888794662,7.804606565,7.002581693,6.776586705,6.860932302,
Estonia,EST,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85108871,10.81081118,10.36109982,15.7345931,22.22682684,20.56775059,20.67587967,23.65193178,22.71316488,21.89272502,17.93921238,6.328828983,5.772711197,
Ethiopia,ETH,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.068792267,5.43459777,4.909817183,2.239753308,3.448878167,1.851465453,9.129798841,6.194386046,6.825015141,5.83079826,13.64514974,,
European Union,EUU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.59913392,15.3579326,16.94780136,16.88006367,16.16586516,16.67191696,16.60460859,16.64542333,17.35424451,17.5623409,15.96931743,15.53475812,16.09644935,
Fragile and conflict affected situations,FCS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.76964202,21.4923177,18.01762555,13.14800184,11.07697248,10.47575753,9.024160634,10.05239746,10.18445398,10.05228491,9.656853847,9.017583109,9.214541081,
Fiji,FJI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.955300385,5.06710109,4.191650185,4.333377447,2.38863545,2.375210821,2.58623733,2.057699716,2.70766422,3.528577302,3.809490622,22.0013002,
